K,K0,activation,batchnorm,bst_epoch,lr,lr_decay,lw,lw1,mode,sample_weight_rate,time,trn_acc,trn_loss,val_acc,val_auc,val_loss
50,5,leakyrelu,False,38,0.002283859068069276,0.9205968135181123,0.0004598998325720172,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
113,10,prelu,False,20,0.004445655981860932,0.812982478186089,0.00993552480344553,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
125,6,leakyrelu,True,34,0.01692366256660542,0.6885535071580093,0.00016297080816294696,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
108,5,relu,True,36,0.002072365756618637,0.7013249554207399,0.0014999437378679782,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
126,10,relu,True,26,0.0015889705517575542,0.9398309034486034,0.0005518892356969617,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
80,15,leakyrelu,True,22,0.016850211355775618,0.8498557694699308,7.296984297424377e-05,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
67,15,tanh,False,27,0.0008758531264305495,0.827148269723679,0.004971459624889866,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
92,13,tanh,False,20,0.007302029475759788,0.91628252214641,2.4196246503007622e-05,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
84,15,elu,True,30,0.002449933144708129,0.9212926954763017,0.0005026908153798048,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
89,4,tanh,True,21,0.001599091167105296,0.7515926281220114,0.00042091349013927766,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
62,5,prelu,True,34,0.007138554622606493,0.7340825585545442,0.0013976222997441473,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
72,11,tanh,True,37,0.0037063850039120894,0.7856239227962395,0.0011415902308721563,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
49,8,leakyrelu,False,20,0.012965773530280765,0.8198126643118264,3.3772771347421965e-05,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
54,4,prelu,True,37,0.003996691123484627,0.6987244672679606,0.0008136907125868365,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
126,8,prelu,True,28,0.011700808571554124,0.8135943672574136,0.0003332516485206556,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
57,15,elu,False,24,0.0013179840313460233,0.8514038590171777,0.0006861527701239387,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
111,15,relu,True,26,0.01609925378297538,0.8179782270631896,0.013209049177945529,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
118,14,prelu,False,23,0.0013303336076905586,0.8176070522265881,0.0011749507378109093,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
99,5,relu,False,35,0.0009017181976405324,0.7893466131261623,0.00022362435443781564,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
70,7,leakyrelu,True,31,0.017956863951351702,0.8438488969617185,0.0021691760011388122,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
79,7,relu,True,21,0.0037344990439665653,0.9296271268941263,0.0009444900850789839,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
112,11,leakyrelu,False,33,0.024296727401610953,0.8911568879624836,0.000316103480998484,0.0,nn_dot,0.0,2017-11-22 14:10:16,0.72838,0.5345,0.68548,0.7276699999999999,0.59239
